b = 178.4139114545757, l = -17.568134999683302, h = -6380316.623729643
b = -90.46398365194413, l = 90.6250483065966, h = -6454267.300105304
b = -175.33153557940477, l = 68.88167994975855, h = -6380666.676306856
b = -179.2156665780604, l = -175.25365994570367, h = -6380539.328715821
b = -179.98912276193172, l = -100.28836918776348, h = -6378556.871750625
b = 170.6250331539107, l = -75.08407497054543, h = -6380415.501221245
b = -125.69174498801297, l = -21.79967506992745, h = -6396366.475814742
b = -179.56604819509607, l = -118.28929150681228, h = -6378557.966729478
b = 129.88215176650658, l = -178.50795495457805, h = -6391387.002088812
b = 112.75440104253144, l = 152.92801216651665, h = -6401128.149866437
b = -179.68312152256013, l = -110.56284436628822, h = -6380692.195877354
b = -125.37494128009754, l = -168.57084950992797, h = -6393022.964999484
b = 171.32951017669095, l = -75.72188343626887, h = -6380339.590011489
b = -125.89066808366627, l = -22.17417256851876, h = -6396289.680715215
b = -179.56836262140888, l = -118.91564371377568, h = -6378551.917543745
b = 132.46887054406665, l = -177.64862628990878, h = -6390389.079761098
b = 112.7985165337706, l = 153.6668495447286, h = -6401114.4090301655
b = -179.68102956275936, l = -110.91531757300464, h = -6380699.918202293
b = -124.47731990245026, l = -168.52630868572683, h = -6393340.435272477
b = -90.21519862423385, l = 92.81632493354876, h = -6506884.527033621
b = -174.66336182679152, l = 70.04575138688135, h = -6380698.295090989
b = -179.2793814833617, l = -175.19310541324444, h = -6380543.137292124
b = -179.9586252753346, l = -100.11971212975001, h = -6378547.243306752
b = 172.30479949144186, l = -76.67293005536948, h = -6380246.054837853
b = -126.1938751272922, l = -22.728379102355095, h = -6396171.662493032
b = -179.57814685755162, l = -119.91732368621574, h = -6378543.281196808
b = 136.78708214486727, l = -176.29488258028982, h = -6388722.492764382
b = 112.88526943169963, l = 154.76503374275316, h = -6401084.859209735
b = -179.67721842913525, l = -111.43721231492376, h = -6380711.173513546
b = -123.07393534991186, l = -168.51833025937964, h = -6393830.8041636795
b = -90.10200634221941, l = 94.42027162303886, h = -6612472.063876012
b = -174.23354931783, l = 70.74485150127371, h = -6380722.304544298
b = -179.31436991054633, l = -175.14222915115022, h = -6380544.856595108
b = -179.92554037247993, l = -99.92509541308534, h = -6378541.885396906
b = 173.18760164999676, l = -77.61790471429377, h = -6380173.25570247
b = -126.50273527193698, l = -23.273527574591277, h = -6396050.3733390365
b = -179.59578656351843, l = -120.99196471822778, h = -6378535.184299726
b = 141.5987966356183, l = -174.86969915289274, h = -6386899.199268384
b = 112.99655205559607, l = 155.85111860895913, h = -6401044.625532697
b = -179.67262070571704, l = -111.95106237828429, h = -6380722.042159474
b = -121.60309539428224, l = -168.5861086650125, h = -6394335.784378237
b = -90.01208081159903, l = 96.29670809557555, h = -8083454.102219816
b = -173.7815608974044, l = 71.44380742517004, h = -6380750.585249006
b = -179.34712623698047, l = -175.08091108798803, h = -6380546.140669063
b = -179.8725873535439, l = -99.65953234590924, h = -6378536.884523092
b = 173.98444432564798, l = -78.5569579599315, h = -6380117.542291681
b = -126.81679540776378, l = -23.81000932476184, h = -6395925.992006
b = -179.62063632302585, l = -122.13799910420157, h = -6378527.672797617
b = 146.79654434933133, l = -173.37552148392987, h = -6385021.169123079
b = 113.1316130889074, l = 156.92472398099187, h = -6400993.965474893
b = -179.667188018277, l = -112.45691995338325, h = -6380732.500735737
b = -120.07861977986488, l = -168.73561935663608, h = -6394848.043546894
b = -89.94257393634244, l = 98.50365191282023, h = -6069113.610585211
b = -173.30704324907012, l = 72.14311367207814, h = -6380783.5340156965
b = -179.37781408551922, l = -175.00889866870097, h = -6380546.987399743
b = -179.79036591650143, l = -99.31949021061365, h = -6378532.31248268
b = 174.70190382480513, l = -79.49022476162158, h = -6380075.793699393
b = -127.13627938643958, l = -24.338146737904555, h = -6395798.444384595
b = -179.65230333468898, l = -123.3552121321785, h = -6378520.767566244
b = 152.2004965534249, l = -171.82014041143916, h = -6383229.317546724
b = 113.2904470434787, l = 157.9854018337273, h = -6400932.967289186
b = -179.66094703158285, l = -112.95528037995938, h = -6380742.555515136
b = -118.51028909902207, l = -168.97538918209554, h = -6395361.835333768
b = -89.89078928948136, l = 101.11493286835149, h = -6238156.95441465
b = -172.81018809690073, l = 72.84265613223621, h = -6380821.57114235
b = -179.4065557332896, l = -174.9261856258599, h = -6380547.40484786
b = -179.66740955647714, l = -98.9057492489076, h = -6378528.334987909
b = 175.34579322073503, l = -80.41771736961427, h = -6380045.399240475
b = -127.45989666342959, l = -24.858114286117413, h = -6395668.286770764
b = -179.68954814235485, l = -124.63880984389655, h = -6378514.5140085425
b = 157.56780466085138, l = -170.20951303847744, h = -6381670.217191882
b = 113.47286392889045, l = 159.03313637941716, h = -6400861.631158932
b = -179.65386261994442, l = -113.44618762902772, h = -6380752.1833555745
b = -116.9050886409901, l = -169.31328469169586, h = -6395872.4612354515
b = -89.85418242280632, l = 104.2256341774558, h = -6287730.800828265
b = -172.29048129852328, l = 73.54201211323252, h = -6380865.162561617
b = -179.4334325300445, l = -174.83294898797348, h = -6380547.3811781965
b = -179.49056596090972, l = -98.4156187737983, h = -6378525.234965988
b = 175.92229446553358, l = -81.3396246065681, h = -6380024.162636406
b = -127.78802531479143, l = -25.370431599212136, h = -6395535.384584295
b = -179.73071058408806, l = -125.98790997361596, h = -6378508.943703775
b = 162.63608603566797, l = -168.55228825410606, h = -6380446.905755397
b = 113.67817022915955, l = 160.06756460700456, h = -6400780.317954355
b = -179.6459363487301, l = -113.92991476472606, h = -6380761.387238903
b = -115.28491339775736, l = -169.75771033186632, h = -6396370.848392733
b = -89.83028016592705, l = 107.95235754015458, h = -6310997.023442277
b = -171.74803864053524, l = 74.24151739857645, h = -6380914.765851798
b = -179.45863033508783, l = -174.7291587550863, h = -6380546.925073922
b = -179.24405833352563, l = -97.84901883324052, h = -6378523.5759262005
b = 176.43685387727893, l = -82.25669213983048, h = -6380010.279843058
b = -128.12071798868234, l = -25.875069641473868, h = -6395399.716748346
b = -179.77395680124633, l = -127.39418793476192, h = -6378504.092493173
b = 167.17477063966024, l = -166.85668910791208, h = -6379587.601730616
b = 113.9060674547484, l = 161.08859920836045, h = -6400689.119661632
b = -179.63714650098416, l = -114.4067009078627, h = -6380770.148162087
b = -113.66232877738392, l = -170.31841755966823, h = -6396851.733439787
b = -89.81665753569312, l = 112.4372192651366, h = -6324183.062436105
b = -171.18288681338274, l = 74.94116989320108, h = -6380970.812414983
b = -179.4822114093006, l = -174.61475244241055, h = -6380546.0367691545
b = -178.91103077717392, l = -97.20572987466689, h = -6378524.266642945
b = 176.89493192398783, l = -83.16865494722964, h = -6380002.245182749
b = -128.45662031133972, l = -26.37261971810083, h = -6395261.886077238
b = -179.81715106470043, l = -128.85368182781957, h = -6378499.992696873
b = 171.01929216056624, l = -165.13210951106961, h = -6379050.784475502
b = 114.15717928484565, l = 162.09601560049097, h = -6400587.8162129335
b = -179.6274894382907, l = -114.87690633790581, h = -6380778.482873263
b = -112.05147705787992, l = -171.00380604693146, h = -6397310.180149779
b = -89.81090963416038, l = 117.84288078229841, h = -6332387.114554872
b = -122.34712103640445, l = 75.64058994353131, h = -6397719.035253179
b = -179.8449805418982, l = -129.85196393158458, h = -6378497.687804296
b = 173.1575997832083, l = -163.97211589576193, h = -6378832.112323444
b = 114.3371785527759, l = 162.7601600086325, h = -6400514.798382356
b = -179.51128585975593, l = -174.44596876604882, h = -6380544.193894198
b = -178.29979364801528, l = -96.23054310557636, h = -6378531.617834658
b = 177.4265666582191, l = -84.37674395152659, h = -6379998.545816486
b = -179.6328135819328, l = -47.126146675380866, h = -6381403.999232171
b = -110.4720063502249, l = -171.82494494371824, h = -6397740.689910027
b = -89.81059584367523, l = 124.32875015921076, h = -6337723.3241256615
b = -122.11341191561736, l = 76.34009953970059, h = -6397808.416410059
b = -179.8836778556344, l = -131.3832643630946, h = -6378494.890273041
b = 175.72161081183924, l = -162.22427635819855, h = -6378647.752597321
b = 114.62580506030707, l = 163.74464837187713, h = -6400397.163174487
b = -179.53144260483842, l = -174.30681531708552, h = -6380542.305133241
b = -177.69015186045428, l = -95.41260907867758, h = -6378545.256682081
b = 177.77180982521628, l = -85.27761483653131, h = -6379999.80486834
b = -179.62240924932004, l = -47.13049112747116, h = -6381400.439712446
b = -108.93946303769825, l = -172.79298214244668, h = -6398140.1362743415
b = -89.81326794189567, l = 132.01160662890928, h = -6341204.6727142455
b = -121.8927335020408, l = 77.03979139001584, h = -6397891.525599785
b = -179.91733635663658, l = -132.94439130463965, h = -6378492.87071736
b = 177.56210501642957, l = -160.4757478577416, h = -6378569.214822569
b = 114.9363634211994, l = 164.71517790788943, h = -6400269.971150257
b = -179.5502863563718, l = -174.15751404542598, h = -6380540.004370909
b = -176.92895265562308, l = -94.52095074532573, h = -6378570.145698773
b = 178.0761452094817, l = -86.17342493082377, h = -6380003.665124913
b = -179.61119042099307, l = -47.13542805935221, h = -6381396.18684448
b = -107.4675266414714, l = -173.91706314123928, h = -6398506.968146591
b = -89.816573354516, l = 140.8669219710613, h = -6343369.012159712
b = -121.68469605730729, l = 77.73927452783597, h = -6397968.498985507
b = -179.9449765284857, l = -134.52932425119633, h = -6378491.66001162
b = 178.77590518296924, l = -158.7366980572496, h = -6378543.271555931
b = 115.26972047320389, l = 165.6721492784466, h = -6400132.876433947
b = -179.56784821209158, l = -173.99743209357493, h = -6380537.2759051155
b = -175.9986160464537, l = -93.56058360919023, h = -6378611.724774369
b = 178.3436402335505, l = -87.0652287405183, h = -6380009.553353574
b = -179.59910830415748, l = -47.14121191678358, h = -6381391.241818328
b = -106.07563315304317, l = -175.2065230355895, h = -6398839.19070923
b = -89.81846808075493, l = 150.65333330932157, h = -6344504.841770195
b = -121.48839869312042, l = 78.43857492146357, h = -6398039.757937937
b = -179.96633116547486, l = -136.12433409281448, h = -6378491.244208351
b = 179.48838275358162, l = -157.01782878733837, h = -6378539.184623568
b = 115.62537644740638, l = 166.61485736689232, h = -6399986.103780288
b = -179.5842275732424, l = -173.82673415104207, h = -6380534.140796855
b = -174.8824566799078, l = -92.53266628382055, h = -6378677.215599511
b = 178.57801436998884, l = -87.95243286469191, h = -6380016.98364778
b = -179.5861653404362, l = -47.14760101218926, h = -6381385.604537021
b = -104.76959663707798, l = -176.67314715003403, h = -6399138.8755305465
b = -89.81760613011978, l = 160.86534407398497, h = -6344766.951803531
b = -121.30398109836486, l = 79.13786215608191, h = -6398105.207764689
b = -179.98211476228843, l = -137.72131142858655, h = -6378491.612997684
b = 179.83835287814037, l = -155.32744172895596, h = -6378542.483164168
b = 116.00247029531072, l = 167.54373331271856, h = -6399829.990507814
b = -179.59946798490196, l = -173.64552728464798, h = -6380530.600816213
b = -173.56852060724444, l = -91.44344613165549, h = -6378775.61806918
b = 178.7827720909637, l = -88.83542230270159, h = -6380025.596074337
b = -179.57232379243572, l = -47.1547228975625, h = -6381379.28303157
b = -103.56463379814586, l = -178.32164437113195, h = -6399406.292288641
b = -89.81362173763175, l = 170.85922596019756, h = -6344209.786869422
b = -121.13093532503946, l = 79.83711780283811, h = -6398165.073666386
b = -179.99393390166173, l = -139.30962155088503, h = -6378492.782891941
b = 179.96830888508305, l = -153.6756231015776, h = -6378547.963737006
b = 116.402385808155, l = 168.4589176384811, h = -6399663.954449486
b = -179.61360821554248, l = -173.45390845496934, h = -6380526.657993482
b = -172.05204751260484, l = -90.29701975509076, h = -6378917.237995003
b = 178.9611403215651, l = -89.71454468759835, h = -6380035.092021661
b = -179.55754089004893, l = -47.16271641473197, h = -6381372.2712977035
b = -102.46758615717519, l = 179.84151629331635, h = -6399643.774031089
b = -89.80720442967237, l = -179.93402906828646, h = -6342810.269354915
b = -120.96943532093826, l = 80.53636676380502, h = -6398219.289042233
b = 179.99561328047184, l = -140.87793932731327, h = -6378494.732455315
b = -179.98582198202985, l = -152.06768969873596, h = -6378554.397275092
b = 116.82420979970347, l = 169.36006918469872, h = -6399488.386410501
b = -179.62670486508966, l = -173.25127705803055, h = -6380522.327939488
b = -170.3319116378195, l = -89.0964098778877, h = -6379113.580104539
b = 179.11616293146997, l = -90.5895491296975, h = -6380045.236882531
b = -179.54178850382667, l = -47.17171324695656, h = -6381364.577446114
b = -101.48403634307984, l = 177.81268274986365, h = -6399853.638726111
b = -89.79983555848543, l = -171.84557755686737, h = -6340464.33182938
b = -120.81898541679146, l = 81.23558415417924, h = -6398268.075620021
b = 179.98313672191645, l = -142.41764578076783, h = -6378497.453731487
b = -179.90080484433716, l = -150.51287432705854, h = -6378561.664625943
b = 117.26784418073167, l = 170.2478026178545, h = -6399303.311692701
b = -179.63880714425972, l = -173.03815881098822, h = -6380517.6010266235
b = -168.41895813430577, l = -87.85146734997926, h = -6379375.500865637
b = 179.25056603922263, l = -91.46047997002121, h = -6380055.8782968465
b = -179.5249937671664, l = -47.18160545426446, h = -6381356.195283229
b = -100.61441259453626, l = 175.59724002895342, h = -6400038.840382798
b = -89.79340547044143, l = -164.95827116968044, h = -6336960.58985517
b = -120.67877675457221, l = 81.9346735489089, h = -6398311.759960175
b = 179.96464751785405, l = -143.92077095011052, h = -6378500.938848768
b = -179.6713287655085, l = -149.0151176278965, h = -6378570.27538503
b = 117.73416945518103, l = 171.1215780457791, h = -6399108.32817975
b = -179.6499399362746, l = -172.81420174712582, h = -6380512.502445025
b = -166.33249819142364, l = -86.56643113403062, h = -6379712.122029154
b = 179.36693584600133, l = -92.32768467046314, h = -6380066.863943482
b = -179.5071583400582, l = -47.192639647335525, h = -6381347.154352322
b = -99.86189282190783, l = 173.19526852840266, h = -6400200.91810014
b = -89.78992450828795, l = -159.1909638988507, h = -6331925.574242754
